"","Cervix-AdenoCA::SP109953","Cervix-AdenoCA::SP107650"
"SBS1",795,1026
"SBS2",0,1055
"SBS3",0,0
"SBS4",0,0
"SBS5",2060,2595
"SBS6",0,0
"SBS7a",0,0
"SBS7b",0,0
"SBS7c",0,0
"SBS7d",0,0
"SBS8",0,0
"SBS9",0,0
"SBS10a",0,0
"SBS10b",0,0
"SBS11",0,0
"SBS12",0,0
"SBS13",0,623
"SBS14",0,0
"SBS15",0,0
"SBS16",0,0
"SBS17a",0,0
"SBS17b",0,0
"SBS18",0,0
"SBS19",0,0
"SBS20",0,0
"SBS21",0,0
"SBS22",0,0
"SBS23",0,0
"SBS24",0,0
"SBS25",0,0
"SBS26",0,0
"SBS27",0,0
"SBS28",0,0
"SBS29",0,0
"SBS30",0,0
"SBS31",0,0
"SBS32",0,0
"SBS33",0,0
"SBS34",0,0
"SBS35",0,0
"SBS36",0,0
"SBS37",0,0
"SBS38",0,0
"SBS39",0,0
"SBS40",0,0
"SBS41",0,0
"SBS42",0,0
"SBS43",0,0
"SBS44",0,0
"SBS45",0,0
"SBS46",0,0
"SBS47",0,0
"SBS48",0,0
"SBS49",0,0
"SBS50",0,0
"SBS51",0,0
"SBS52",0,0
"SBS53",0,0
"SBS54",0,0
"SBS55",0,0
"SBS56",0,0
"SBS57",0,0
"SBS58",0,0
"SBS59",0,0
"SBS60",0,0
